state_name,year,unemployment_rate_pct,metric,data_source
Ladakh,2021-22,3.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Ladakh,2022-23,6.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Ladakh,2023-24,5.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Lakshadweep,2019-20,13.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Lakshadweep,2020-21,13.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Lakshadweep,2021-22,17.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Lakshadweep,2022-23,11.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Lakshadweep,2023-24,11.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Madhya Pradesh,2019-20,3.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Madhya Pradesh,2020-21,1.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Madhya Pradesh,2021-22,2.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Madhya Pradesh,2022-23,1.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Madhya Pradesh,2023-24,0.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Maharashtra,2019-20,3.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Maharashtra,2020-21,3.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Maharashtra,2021-22,3.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Maharashtra,2022-23,3.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Maharashtra,2023-24,3.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Manipur,2019-20,9.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Manipur,2020-21,5.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Manipur,2021-22,9.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Manipur,2022-23,4.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Manipur,2023-24,6.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Meghalaya,2019-20,2.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Meghalaya,2020-21,1.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Meghalaya,2021-22,2.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Meghalaya,2022-23,6.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Meghalaya,2023-24,6.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Mizoram,2019-20,5.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Mizoram,2020-21,3.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Mizoram,2021-22,5.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Mizoram,2022-23,2.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Mizoram,2023-24,2.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Nagaland,2019-20,25.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Nagaland,2020-21,19.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Nagaland,2021-22,9.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Nagaland,2022-23,4.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Nagaland,2023-24,7.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Odisha,2019-20,6.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Odisha,2020-21,5.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Odisha,2021-22,6.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Odisha,2022-23,3.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Odisha,2023-24,3.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Puducherry,2019-20,7.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Puducherry,2020-21,6.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Puducherry,2021-22,5.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Puducherry,2022-23,5.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Puducherry,2023-24,4.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Punjab,2019-20,7.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Punjab,2020-21,6.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Punjab,2021-22,6.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Punjab,2022-23,6.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Punjab,2023-24,5.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Rajasthan,2019-20,4.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Rajasthan,2020-21,4.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Rajasthan,2021-22,4.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Rajasthan,2022-23,4.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Rajasthan,2023-24,4.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Sikkim,2019-20,2.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Sikkim,2020-21,1.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Sikkim,2021-22,1.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Sikkim,2022-23,2.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Sikkim,2023-24,2.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tamil Nadu,2019-20,5.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tamil Nadu,2020-21,5.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tamil Nadu,2021-22,4.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tamil Nadu,2022-23,4.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tamil Nadu,2023-24,3.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Telangana,2019-20,7.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Telangana,2020-21,4.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Telangana,2021-22,4.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Telangana,2022-23,4.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Telangana,2023-24,4.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tripura,2019-20,3.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tripura,2020-21,3.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tripura,2021-22,3.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tripura,2022-23,1.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Tripura,2023-24,1.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttar Pradesh,2019-20,4.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttar Pradesh,2020-21,4.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttar Pradesh,2021-22,2.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttar Pradesh,2022-23,2.4,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttar Pradesh,2023-24,3.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttarakhand,2019-20,7.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttarakhand,2020-21,6.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttarakhand,2021-22,7.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttarakhand,2022-23,4.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Uttarakhand,2023-24,4.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
West Bengal,2019-20,4.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
West Bengal,2020-21,3.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
West Bengal,2021-22,3.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
West Bengal,2022-23,2.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
West Bengal,2023-24,2.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
